index,binary,is_unit,unit_index
0,00000000,True,
1,00000001,False,
2,00000010,False,
3,00000011,False,
4,00000100,False,
5,00000101,False,
6,00000110,False,
7,00000111,False,
8,00001000,False,
9,00001001,False,
10,00001010,True,10.0
11,00001011,False,
12,00001100,False,
13,00001101,False,
14,00001110,False,
15,00001111,True,
16,00010000,False,
17,00010001,False,
18,00010010,False,129.0
19,00010011,False,
20,00010100,False,
21,00010101,False,
22,00010110,False,
23,00010111,False,
24,00011000,False,
25,00011001,False,140.0
26,00011010,False,
27,00011011,False,
28,00011100,False,134.0
29,00011101,False,142.0
30,00011110,False,
31,00011111,False,
32,00100000,False,
33,00100001,False,
34,00100010,False,
35,00100011,False,140.0
36,00100100,False,129.0
37,00100101,False,
38,00100110,False,
39,00100111,False,
40,00101000,False,
41,00101001,False,134.0
42,00101010,False,
43,00101011,False,142.0
44,00101100,False,
45,00101101,False,
46,00101110,False,
47,00101111,False,
48,00110000,False,
49,00110001,False,
50,00110010,False,200.0
51,00110011,False,
52,00110100,False,193.0
53,00110101,False,
54,00110110,False,201.0
55,00110111,False,205.0
56,00111000,False,
57,00111001,False,
58,00111010,False,202.0
59,00111011,False,
60,00111100,False,
61,00111101,False,
62,00111110,False,203.0
63,00111111,False,
64,01000000,False,
65,01000001,False,
66,01000010,False,129.0
67,01000011,False,134.0
68,01000100,False,
69,01000101,False,
70,01000110,False,140.0
71,01000111,False,142.0
72,01001000,False,129.0
73,01001001,False,134.0
74,01001010,False,
75,01001011,False,
76,01001100,False,140.0
77,01001101,False,142.0
78,01001110,False,
79,01001111,False,
80,01010000,False,
81,01010001,False,
82,01010010,False,
83,01010011,False,
84,01010100,False,
85,01010101,False,
86,01010110,False,172.0
87,01010111,False,
88,01011000,False,
89,01011001,False,172.0
90,01011010,False,
91,01011011,False,
92,01011100,False,172.0
93,01011101,False,
94,01011110,False,
95,01011111,False,
96,01100000,False,
97,01100001,False,
98,01100010,False,
99,01100011,False,
100,01100100,False,200.0
101,01100101,False,202.0
102,01100110,False,
103,01100111,False,
104,01101000,False,193.0
105,01101001,False,
106,01101010,False,
107,01101011,False,
108,01101100,False,201.0
109,01101101,False,203.0
110,01101110,False,205.0
111,01101111,False,
112,01110000,False,
113,01110001,False,
114,01110010,False,
115,01110011,True,
116,01110100,False,232.0
117,01110101,False,
118,01110110,False,
119,01110111,False,
120,01111000,False,
121,01111001,True,
122,01111010,False,
123,01111011,False,
124,01111100,False,
125,01111101,False,
126,01111110,True,
127,01111111,False,
128,10000000,False,
129,10000001,True,
130,10000010,False,
131,10000011,False,
132,10000100,False,
133,10000101,False,
134,10000110,True,
135,10000111,False,
136,10001000,False,
137,10001001,False,
138,10001010,False,
139,10001011,False,
140,10001100,True,
141,10001101,False,
142,10001110,True,
143,10001111,False,
144,10010000,False,
145,10010001,False,200.0
146,10010010,False,193.0
147,10010011,False,201.0
148,10010100,False,
149,10010101,False,202.0
150,10010110,False,
151,10010111,False,203.0
152,10011000,False,
153,10011001,False,
154,10011010,False,
155,10011011,False,205.0
156,10011100,False,
157,10011101,False,
158,10011110,False,
159,10011111,False,
160,10100000,True,160.0
161,10100001,False,
162,10100010,False,
163,10100011,False,172.0
164,10100100,False,
165,10100101,True,165.0
166,10100110,False,
167,10100111,False,
168,10101000,False,
169,10101001,False,
170,10101010,True,170.0
171,10101011,False,
172,10101100,True,
173,10101101,False,
174,10101110,False,
175,10101111,True,175.0
176,10110000,False,
177,10110001,False,
178,10110010,False,232.0
179,10110011,False,115.0
180,10110100,False,
181,10110101,False,
182,10110110,False,121.0
183,10110111,False,126.0
184,10111000,False,
185,10111001,False,115.0
186,10111010,False,
187,10111011,False,
188,10111100,False,121.0
189,10111101,False,126.0
190,10111110,False,
191,10111111,False,
192,11000000,False,
193,11000001,True,
194,11000010,False,193.0
195,11000011,False,
196,11000100,False,200.0
197,11000101,False,202.0
198,11000110,False,201.0
199,11000111,False,203.0
200,11001000,True,
201,11001001,True,
202,11001010,True,
203,11001011,True,
204,11001100,False,
205,11001101,True,
206,11001110,False,205.0
207,11001111,False,
208,11010000,False,
209,11010001,False,232.0
210,11010010,False,
211,11010011,False,
212,11010100,False,232.0
213,11010101,False,
214,11010110,False,121.0
215,11010111,False,
216,11011000,False,
217,11011001,False,
218,11011010,False,
219,11011011,False,126.0
220,11011100,False,115.0
221,11011101,False,
222,11011110,False,
223,11011111,False,
224,11100000,False,
225,11100001,False,
226,11100010,False,
227,11100011,False,121.0
228,11100100,False,
229,11100101,False,
230,11100110,False,115.0
231,11100111,False,
232,11101000,True,
233,11101001,False,
234,11101010,False,
235,11101011,False,
236,11101100,False,
237,11101101,False,126.0
238,11101110,False,
239,11101111,False,
240,11110000,True,
241,11110001,False,
242,11110010,False,
243,11110011,False,
244,11110100,False,
245,11110101,False,
246,11110110,False,
247,11110111,False,
248,11111000,False,
249,11111001,False,
250,11111010,True,250.0
251,11111011,False,
252,11111100,False,
253,11111101,False,
254,11111110,False,
255,11111111,True,
